w_mm,freq_ghz,r_ohm,l_uH,g_uS,c_pF
0.2,0.6,23.0327082548372,1.00425072092201,16.0708082473242,14.1812132675182
0.2,0.63,23.5679411343151,1.00410036332694,16.9066024129974,14.1810998040021
0.2,0.66,24.0899445555032,1.00396150655545,17.744578241334,14.1809875340969
0.2,0.69,24.6001780259157,1.00383265972173,18.5829745953517,14.1808767648719
0.2,0.72,25.0997868610768,1.00371257555688,19.4203184601566,14.1807677531581
0.2,0.75,25.5896687311283,1.00360020751964,20.2554021351043,14.1806607095247
0.2,0.78,26.0705278049273,1.00349467444095,21.0872593867502,14.1805558024376
0.2,0.81,26.5429184646775,1.00339523149119,21.9151413744868,14.1804531624569
0.2,0.84,27.0072803634977,1.00330124638924,22.738492985863,14.1803528863632
0.2,0.87,27.4639663614003,1.00321217992418,23.5569300613746,14.1802550411284
0.2,0.9,27.9132646412082,1.00312757000859,24.3702178519117,14.1801596676727
0.2,0.93,28.3554160925886,1.0030470186163,25.1782509368829,14.1800667843655
0.2,0.96,28.7906278659132,1.00297018107306,25.9810347366912,14.179976390249
0.2,0.99,29.2190838386531,1.00289675726542,26.7786686781336,14.179888467974
0.2,1.02,29.6409526034574,1.00282648441421,27.5713310133275,14.1798029864465
0.2,1.05,30.056393475926,1.00275913112469,28.3592652495743,14.1797199031938
0.2,1.08,30.4655609281341,1.00269449247949,29.1427681167788,14.179639166463
0.2,1.11,30.8686077781756,1.00263238598432,29.9221789784086,14.1795607170669
0.2,1.14,31.2656874036728,1.00257264821167,30.6978705794443,14.1794844899973
0.2,1.17,31.6569551960399,1.00251513201684,31.4702410185592,14.179410415825
0.2,1.2,32.0425694303496,1.00245970422359,32.2397068303386,14.1793384219056
0.2,1.23,32.4226916913119,1.00240624369581,33.0066970654357,14.1792684334122
0.2,1.26,32.7974869677954,1.00235463972692,33.7716482611229,14.1792003742119
0.2,1.29,33.1671235053961,1.00230479069102,34.5350002009142,14.1791341676056
0.2,1.32,33.5317724878742,1.0022566029102,35.2971923691509,14.1790697369456
0.2,1.35,33.8916076030885,1.00220998970025,36.058661014178,14.1790070061484
0.2,1.38,34.2468045367363,1.00216487056435,36.819836741614,14.1789459001137
0.2,1.41,34.5975404272469,1.00212117050909,37.5811425669771,14.1788863450644
0.2,1.44,34.9439933071534,1.00207881946231,38.3429923643838,14.1788282688167
0.2,1.47,35.2863415498357,1.00203775177544,39.1057896550647,14.1787716009919
0.2,1.5,35.6247633353961,1.00199790579645,39.8699266859764,14.1787162731765
0.2,1.53,35.9594361453629,1.0019592235015,40.6357837547791,14.17866221904
0.2,1.56,36.2905362927126,1.00192165017591,41.4037287429064,14.1786093744166
0.2,1.59,36.6182384912113,1.00188513413644,42.1741168233644,14.178557677356
0.2,1.62,36.9427154661451,1.00184962648824,42.9472903142988,14.1785070681487
0.2,1.65,37.2641376070463,1.00181508091111,43.7235786532856,14.178457489331
0.2,1.68,37.5826726619284,1.00178145347048,44.5032984707638,14.1784088856717
0.2,1.71,37.8984854717401,1.00174870244947,45.2867537440854,14.1783612041454
0.2,1.74,38.2117377431864,1.00171678819879,46.0742360163344,14.1783143938944
0.2,1.77,38.5225878576826,1.00168567300195,46.8660246664098,14.1782684061816
0.2,1.8,38.8311907139709,1.0016553209536,47.6623872189056,14.1782231943365
0.2,1.83,39.1376976018083,1.00162569784923,48.4635796840933,14.1781787136958
0.2,1.86,39.4422561040907,1.00159677108459,49.2698469198435,14.1781349215405
0.2,1.89,39.7450100248072,1.00156850956378,50.0814230086483,14.1780917770297
0.2,1.92,40.0460993402889,1.00154088361468,50.8985316440432,14.1780492411339
0.2,1.95,40.3456601713204,1.00151386491099,51.7213865217076,14.1780072765662
0.2,1.98,40.643824773813,1.00148742640014,52.5501917313574,14.1779658477144
0.2,2.01,40.9407215458767,1.00146154223627,53.3851421462611,14.1779249205729
0.2,2.04,41.2364750492836,1.00143618771784,54.2264238078174,14.1778844626754
0.2,2.07,41.5312060434609,1.00141133922939,55.0742143031508,14.1778444430295
0.2,2.1,41.8250315303112,1.00138697418706,55.9286831341187,14.1778048320523
0.3,0.6,16.5520214965399,0.930289333661802,16.1254422257314,15.0927492587815
0.3,0.63,16.9332908193549,0.930180033194053,16.9640849286157,15.0926354098385
0.3,0.66,17.3050165974411,0.93007913876116,17.8049173057998,15.0925227584709
0.3,0.69,17.6681896114901,0.929985547749761,18.6461721974939,15.0924116127953
0.3,0.72,18.0235803394375,0.929898342820386,19.4863715432225,15.0923022305205
0.3,0.75,18.3717885336655,0.929816757846824,20.32430349761,15.0921948229367
0.3,0.78,18.7132828493685,0.929740150241466,21.1589985032579,15.0920895590882
0.3,0.81,19.0484323115772,0.929667978510195,21.9897051353704,15.0919865699849
0.3,0.84,19.377531145593,0.929599784058461,22.8158663572936,15.0918859527424
0.3,0.87,19.7008182444474,0.929535176438589,23.6370966684021,15.0917877745666
0.3,0.9,20.018492323586,0.929473821376588,24.4531604886968,15.0916920765226
0.3,0.93,20.3307236217058,0.929415431042085,25.2639520089288,15.091598877048
0.3,0.96,20.6376628465104,0.929359756128641,26.0694766403936,15.0915081751875
0.3,0.99,20.9394479317738,0.92930657939616,26.8698341231838,15.091419953538
0.3,1.02,21.2362090635634,0.929255710395368,27.6652032935223,15.0913341809047
0.3,1.05,21.528072344883,0.929206981149185,28.4558284674535,15.0912508146751
0.3,1.08,21.815162395895,0.929160242609877,29.242007367276,15.0911698029245
0.3,1.11,22.0976041282937,0.929115361746071,30.0240804963917,15.0910910862683
0.3,1.14,22.37552388485,0.929072219142026,30.8024218556683,15.0910145994809
0.3,1.17,22.6490500965809,0.929030707014118,31.57743088818,15.0909402729001
0.3,1.2,22.9183135787568,0.928990727567737,32.3495255377522,15.0908680336375
0.3,1.23,23.1834475616705,0.928952191632342,33.1191363088326,15.0907978066144
0.3,1.26,23.4445875316594,0.928915017524185,33.8867012197863,15.0907295154412
0.3,1.29,23.7018709413887,0.928879130095692,34.6526615479466,15.09066308316
0.3,1.32,23.955436835138,0.928844459938136,35.4174582719991,15.0905984328645
0.3,1.35,24.2054254241917,0.928810942710409,36.1815291250321,15.0905354882138
0.3,1.38,24.4519776389191,0.928778518571725,36.9453061794906,15.0904741738537
0.3,1.41,24.6952346773571,0.928747131700147,37.7092138930584,15.0904144157573
0.3,1.44,24.9353375647361,0.928716729882115,38.4736675519667,15.0903561414967
0.3,1.47,25.172426734162,0.928687264160868,39.2390720552862,15.0902992804543
0.3,1.5,25.406641635364,0.928658688533799,40.0058209903091,15.0902437639849
0.3,1.53,25.6381203758541,0.928630959690604,40.7742959551441,15.090189525533
0.3,1.56,25.8669993968825,0.928604036785511,41.5448660901187,15.090136500715
0.3,1.59,26.0934131850862,0.928577881238071,42.3178877845126,15.0900846273704
0.3,1.62,26.3174940196296,0.928552456557975,43.0937045295631,15.0900338455869
0.3,1.65,26.539371753828,0.928527728190138,43.8726468926095,15.0899840977055
0.3,1.68,26.7591736296888,0.928503663376957,44.6550325907249,15.0899353283074
0.3,1.71,26.9770241234244,0.928480231035173,45.441166645243,15.0898874841869
0.3,1.74,27.1930448197597,0.928457401645213,46.2313416012812,15.0898405143134
0.3,1.77,27.4073543127351,0.928435147151241,47.0258377987053,15.089794369784
0.3,1.8,27.6200681306661,0.92841344087045,47.824923683032,15.0897490037693
0.3,1.83,27.831298682946,0.928392257410356,48.628856146539,15.0897043714542
0.3,1.86,28.0411552264422,0.928371572593081,49.4378808913934,15.089660429974
0.3,1.89,28.2497438493416,0.928351363385744,50.2522328079342,15.0896171383489
0.3,1.92,28.4571674704143,0.928331607836242,51.0721363623905,15.0895744574164
0.3,1.95,28.6635258518036,0.928312285013804,51.8978059892949,15.0895323497626
0.3,1.98,28.8689156235866,0.928293374953798,52.7294464846958,15.0894907796539
0.3,2.01,29.0734303184908,0.92827485860634,53.5672533969856,15.0894497129687
0.3,2.04,29.2771604152954,0.928256717788328,54.4114134127763,15.0894091171302
0.3,2.07,29.4801933895766,0.928238935138579,55.2621047357705,15.0893689610402
0.3,2.1,29.6826137705914,0.928221494075773,56.119497457016,15.0893292150148
0.4,0.6,13.0686818199736,0.876587803218231,16.0877648217636,15.8330392312896
0.4,0.63,13.3711311687816,0.876501176238809,16.9244526258374,15.8329256485944
0.4,0.66,13.6659715014108,0.876421215781793,17.7633253929457,15.8328132606096
0.4,0.69,13.9540008598699,0.876347049025442,18.6026200669736,15.8327023747347
0.4,0.72,14.2358412595847,0.876277949130125,19.440862013994,15.8325932480794
0.4,0.75,14.5119778900457,0.876213308582691,20.2768421923618,15.832486091444
0.4,0.78,14.7827905364339,0.876152617489939,21.1095932822165,15.8323810734819
0.4,0.81,15.0485785963841,0.876095445939802,21.9383655871473,15.8322783249012
0.4,0.84,15.3095808724307,0.876041429679058,22.7626033456968,15.832177942595
0.4,0.87,15.5659911313462,0.875990258482324,23.5819219330184,15.8320799936165
0.4,0.9,15.8179702509631,0.8759416666994,24.3960862962594,15.8319845189391
0.4,0.93,16.0656556277793,0.87589542556384,25.2049908519605,15.8318915369616
0.4,0.96,16.309168394578,0.875851336925289,26.008640979315,15.8318010467349
0.4,0.99,16.5486188943036,0.875809228133381,26.8071361679516,15.8317130309001
0.4,1.02,16.7841107716968,0.875768947853904,27.6006548208707,15.831627458339
0.4,1.05,17.0157439748329,0.875730362640584,28.3894406699227,15.831544286542
0.4,1.08,17.2436169021272,0.8756933541202,29.1737907303941,15.8314634637087
0.4,1.11,17.4678278842973,0.87565781667621,29.9540447006013,15.831384930596
0.4,1.14,17.6884761533052,0.875623655538238,30.7305756998493,15.8313086221331
0.4,1.17,17.9056624198676,0.875590785202463,31.5037822318863,15.831234468823
0.4,1.2,18.1194891564156,0.875559128122251,32.2740812595556,15.8311623979497
0.4,1.23,18.330060662364,0.875528613619812,33.0419022784314,15.8310923346115
0.4,1.26,18.5374829723342,0.875499176978938,33.8076822817904,15.8310242025991
0.4,1.29,18.7418636548782,0.875470758686325,34.5718615154941,15.8309579251357
0.4,1.32,18.9433115386867,0.875443303795017,35.3348799285772,15.8308934254961
0.4,1.35,19.1419363947727,0.875416761388392,36.0971742330816,15.8308306275187
0.4,1.38,19.3378485963184,0.875391084127081,36.8591754945575,15.8307694560265
0.4,1.41,19.531158772438,0.875366227864414,37.6213071824214,15.8307098371663
0.4,1.44,19.7219774677997,0.875342151318592,38.3839836168189,15.83065169868
0.4,1.47,19.9104148166395,0.875318815791948,39.1476087556816,15.8305949701156
