freq,rn,nfmin,sopt,s11,s12,s21,s22
1785500000.0000000000,5.7794568110,0.0763165876,0.8604307425 / 11.0002260109,0.8418621841 / -26.0604806590,0.0388842055 / 91.3107360520,8.3075379303 / 136.4683899229,0.3337112273 / 20.1767206096
1792000000.0000000000,5.7782454249,0.0764755968,0.8601410175 / 11.0403495707,0.8410213022 / -26.1301738609,0.0390512955 / 91.2885642541,8.2980221734 / 136.3385552223,0.3342647485 / 20.1282923673
1798500000.0000000000,5.7770280744,0.0766348544,0.8598507714 / 11.0804758836,0.8401803274 / -26.1996720391,0.0392185333 / 91.2662354835,8.2885057844 / 136.2089389984,0.3348164684 / 20.0796274145
1805000000.0000000000,5.7758047668,0.0767943588,0.8595600066 / 11.1206049682,0.8393392743 / -26.2689754763,0.0393859182 / 91.2437509487,8.2789889200 / 136.0795410004,0.3353663855 / 20.0307291157
1811500000.0000000000,5.7745755095,0.0769541086,0.8592687255 / 11.1607368431,0.8384981570 / -26.3380844585,0.0395534494 / 91.2211118519,8.2694717355 / 135.9503609743,0.3359144989 / 19.9816007970
1818000000.0000000000,5.7733403096,0.0771141021,0.8589769302 / 11.2008715272,0.8376569898 / -26.4069992752,0.0397211262 / 91.1983193890,8.2599543853 / 135.8213986622,0.3364608074 / 19.9322457465
1824500000.0000000000,5.7720991744,0.0772743379,0.8586846232 / 11.2410090389,0.8368157867 / -26.4757202194,0.0398889479 / 91.1753747494,8.2504370223 / 135.6926538033,0.3370053101 / 19.8826672147
1831000000.0000000000,5.7708521113,0.0774348143,0.8583918067 / 11.2811493968,0.8359745615 / -26.5442475872,0.0400569138 / 91.1522791163,8.2409197982 / 135.5641261329,0.3375480060 / 19.8328684151
1837500000.0000000000,5.7695991274,0.0775955300,0.8580984829 / 11.3212926195,0.8351333281 / -26.6125816782,0.0402250231 / 91.1290336666,8.2314028636 / 135.4358153833,0.3380888945 / 19.7828525244
1844000000.0000000000,5.7683402299,0.0777564834,0.8578046541 / 11.3614387255,0.8342921003 / -26.6807227950,0.0403932751 / 91.1056395707,8.2218863679 / 135.3077212833,0.3386279748 / 19.7326226830
1850500000.0000000000,5.7670754260,0.0779176731,0.8575103224 / 11.4015877331,0.8334508915 / -26.7486712438,0.0405616691 / 91.0820979929,8.2123704591 / 135.1798435584,0.3391652464 / 19.6821819951
1857000000.0000000000,5.7658047230,0.0780790975,0.8572154901 / 11.4417396609,0.8326097153 / -26.8164273335,0.0407302044 / 91.0584100909,8.2028552842 / 135.0521819311,0.3397007088 / 19.6315335296
1863500000.0000000000,5.7645281279,0.0782407551,0.8569201594 / 11.4818945272,0.8317685849 / -26.8839913764,0.0408988802 / 91.0345770162,8.1933409887 / 134.9247361206,0.3402343617 / 19.5806803201
1870000000.0000000000,5.7632456480,0.0784026446,0.8566243324 / 11.5220523503,0.8309275137 / -26.9513636879,0.0410676958 / 91.0105999139,8.1838277173 / 134.7975058428,0.3407662047 / 19.5296253654
1876500000.0000000000,5.7619572904,0.0785647645,0.8563280113 / 11.5622131486,0.8300865147 / -27.0185445863,0.0412366505 / 90.9864799229,8.1743156131 / 134.6704908108,0.3412962377 / 19.4783716299
