# RGLC Parameters for 8mm-suspended line from 2D extractor
# Width varies from 0.2:0.1:20 (mm)
# Freq varies from 0.1 to 5 GHz in 51 steps
width_mm,freq_ghz,r_ohm,l_uH,g_uS,c_pf
0.2,0.1,8.18819,1.00355,2.51947,14.0985
0.2,0.198,11.7149924326469,0.999841726421089,4.39287502647865,14.0981615308805
0.2,0.296,14.0249811327454,0.99818578251022,7.2111998991783,14.0976546469594
0.2,0.394,15.9661816899071,0.997276342905077,10.6484344711068,14.0970408639712
0.2,0.492,17.7620174906849,0.996664180349447,14.3902218396126,14.0963794987565
0.2,0.59,19.4474728657514,0.996201880871904,18.1871290110465,14.0957176174716
0.2,0.688,21.0253615992783,0.995832393636862,21.8712956554743,14.0950868940891
0.2,0.786,22.5009295347866,0.995528342911363,25.3481543152808,14.0945051727345
0.2,0.884,23.8850097171723,0.995273586417811,28.5778535437855,14.0939799730059
0.2,0.982,25.1910691634975,0.995057140475895,31.5562427450991,14.0935120779978
0.2,1.08,26.4324815625443,0.994870942936906,34.2997392962584,14.0930983897655
0.2,1.178,27.6210328851146,0.994708873247669,36.8348670949058,14.092733903326
0.2,1.276,28.7663862535822,0.99456621997714,39.1917142829047,14.0924129411381
0.2,1.374,29.8760945278702,0.994439334111058,41.4001925939767,14.0921298589366
0.2,1.472,30.9558650350102,0.994325378635658,43.488114789547,14.0918794085064
0.2,1.57,32.0099052400885,0.994222139521546,45.4803707513285,14.0916568931477
0.2,1.668,33.0412629764312,0.994127881028384,47.3987256773999,14.091458205755
0.2,1.766,34.0521241016792,0.994041234685988,49.2619445299713,14.091279805335
0.2,1.864,35.0440563727159,0.993961114232594,51.0860680960833,14.0911186649152
0.2,1.962,36.0182007698059,0.993886650566315,52.8847424065187,14.0909722093858
0.2,2.06,36.9754166902048,0.993817142071531,54.6695493286839,14.0908382531185
0.2,2.158,37.9163889571625,0.99375201671202,56.4503129489438,14.090714942155
0.2,2.256,38.8417043938976,0.993690803103047,58.2353713942384,14.0906007029157
0.2,2.354,39.75190480254,0.993633108421976,60.0318118079113,14.0904941978615
0.2,2.452,40.6475220668977,0.993578601521603,61.8456702396879,14.0903942877764
0.2,2.55,41.5291,0.993527,63.6821,14.0903
0.2,2.648,42.3972065808011,0.993478060279183,65.5455125988376,14.0902105018332
0.2,2.746,43.2524393995778,0.993431569972716,67.4396953331743,14.0901250783507
0.2,2.844,44.0954264568986,0.993387341995579,69.3679092385708,14.0900431139177
0.2,2.942,44.9268239214013,0.993345210001241,71.3329706619342,14.0899640767984
0.2,3.04,45.7473120273074,0.993305024830722,73.3373192387604,14.0898875063283
0.2,3.138,46.5575899637304,0.993266651734234,75.3830746156751,14.0898130022122
0.2,3.236,47.3583703562879,0.993229968183479,77.4720838669308,14.0897402155758
0.2,3.334,48.150373751579,0.993194862136323,79.6059612166362,14.0896688414714
0.2,3.432,48.9343233736148,0.993161230648721,81.7861213946931,14.0895986125835
0.2,3.53,49.7109403174845,0.993128978753922,84.0138077182987,14.0895292939298
0.2,3.628,50.4809392707093,0.993098018548084,86.2901157960125,14.0894606783888
0.2,3.726,51.2450247999492,0.993068268435973,88.6160135913984,14.0893925829137
0.2,3.824,52.0038882045182,0.993039652501407,90.9923584522912,14.0893248453192
0.2,3.922,52.758204914278,0.99301209997553,93.4199116047018,14.0892573215467
0.2,4.02,53.5086323946273,0.992985544782313,95.8993505229426,14.0891898833298
0.2,4.118,54.2558085129573,0.99295992514556,98.4312795161095,14.0891224161971
0.2,4.216,55.0003503172134,0.992935183245326,101.016238812623,14.0890548177578
0.2,4.314,55.7428531766286,0.992911264914476,103.654712376682,14.0889869962267
0.2,4.412,56.4838902362451,0.992888119368197,106.347134651225,14.0889188691523
0.2,4.51,57.2240121397058,0.992865698960923,109.093896389734,14.0888503623159
0.2,4.608,57.963746978445,0.992843958966325,111.895349712645,14.0887814087775
0.2,4.706,58.7036004294144,0.992822857376959,114.751812502196,14.088711948047
0.2,4.804,59.4440560475903,0.992802354720887,117.663572231402,14.0886419253613
0.2,4.902,60.1855756835229,0.992782413893096,120.630889307786,14.0885712910533
0.2,5,60.9286,0.992763,123.654,14.0885
0.3,0.1,6.00813475464328,0.933497975045139,2.52710901530866,14.9497400751715
0.3,0.198,8.62836452833567,0.930735324660806,4.4467229287432,14.9493883625797
0.3,0.296,10.3409145527591,0.929503591328138,7.32709175603125,14.9488630483094
0.3,0.394,11.777812152573,0.928827365010517,10.8280531258149,14.9482291939477
0.3,0.492,13.1048638955325,0.928372253097912,14.6246753321169,14.9475489479582
0.3,0.59,14.3480244012216,0.928028638278115,18.4622912632348,14.9468710195425
0.3,0.688,15.5094647318525,0.927754083788274,22.1722922320082,14.9462276578125
0.3,0.786,16.5931389379712,0.927528208562852,25.6620225506786,14.9456365846179
0.3,0.884,17.6070788211352,0.927338991891334,28.8945836033024,14.9451048573472
0.3,0.982,18.5612108622901,0.927178261349449,31.8688042329761,14.9446326999185
0.3,1.08,19.4653614566879,0.927040027255004,34.6036334648972,14.9442164879267
0.3,1.178,20.3281771929916,0.926919749905291,37.127546480796,14.9438507749234
0.3,1.276,21.1567493933317,0.926813939919842,39.4720399177216,14.9435295365476
0.3,1.374,21.9566364435679,0.926719897777164,41.6679915524865,14.9432468667956
0.3,1.472,22.7320659971212,0.926635525981408,43.7438461377473,14.9429973250092
0.3,1.57,23.4861919703867,0.926559187679078,45.7248854769745,14.9427760754862
0.3,1.668,24.2213440090352,0.926489598778535,47.633100209903,14.9425789120032
0.3,1.766,24.9392432823015,0.926425745458471,49.4873686386723,14.9424022236124
0.3,1.864,25.6411773391926,0.926366821181153,51.303771515924,14.9422429344328
