w_mm,freq_ghz,r_ohm,l_nH,g_uS,c_pF
0.4,0.6,6.12526927800918,702.131387479237,14.2995085455163,18.4319734427856
0.4,0.63,6.29669592351898,702.089176401289,15.0431441666846,18.4318724861613
0.4,0.66,6.46371278728984,702.049853010209,15.7887192633057,18.4317725916641
0.4,0.69,6.62678901419415,702.013115253369,16.5346668465468,18.4316740325156
0.4,0.72,6.78632671607715,701.978695437112,17.2796762939719,18.4315770372363
0.4,0.75,6.94266784889372,701.946357357459,18.0226730551392,18.4314817931835
0.4,0.78,7.09610147878047,701.915893186249,18.7627974326004,18.4313884502519
0.4,0.81,7.24687090605101,701.887120360923,19.4993831607129,18.4312971246081
0.4,0.84,7.39518034289253,701.859878622472,20.2319363490459,18.4312079023623
0.4,0.87,7.54120098836835,701.834027278507,20.9601152172822,18.4311208431021
0.4,0.9,7.68507643842719,701.80944272539,21.683710926967,18.4310359832343
0.4,0.93,7.82692742666543,701.78601623676,22.4026297129856,18.4309533391008
0.4,0.96,7.96685592577467,701.76365201005,23.1168764337014,18.430872909847
0.4,0.99,8.10494865823499,701.742265453862,23.8265395918663,18.4307946800331
0.4,1.02,8.24128007347869,701.721781694899,24.5317778268302,18.4307186219901
0.4,1.05,8.37591485118333,701.70213428169,25.232807840151,18.4306446979244
0.4,1.08,8.50890998902441,701.683264062654,25.9298936893052,18.4305728617853
0.4,1.11,8.64031652974188,701.665118217264,26.623337365841,18.4305030609073
0.4,1.14,8.77018097778884,701.647649420794,27.3134705631669,18.4304352374457
0.4,1.17,8.89854645079822,701.630815125043,28.0006475336375,18.4303693296222
0.4,1.2,9.02545360602735,701.614576939404,28.6852389333319,18.4303052727979
0.4,1.23,9.15094137706575,701.598900098483,29.367626554775,18.4302430003919
0.4,1.26,9.27504755154935,701.583753004227,30.0481988519133,18.4301824446615
0.4,1.29,9.39780921648175,701.56910683208,30.7273471671861,18.4301235373602
0.4,1.32,9.51926309404024,701.554935192102,31.4054625769583,18.4300662102875
0.4,1.35,9.63944578743645,701.541213837222,32.0829332784594,18.4300103957448
0.4,1.38,9.75839395348829,701.527920411883,32.7601424483854,18.4299560269086
0.4,1.41,9.87614441601178,701.515034235285,33.4374665102215,18.4299030381326
0.4,1.44,9.99273423192706,701.502536114269,34.1152737539769,18.4298513651885
0.4,1.47,10.108200720056,701.490408181572,34.7939232582786,18.429800945454
0.4,1.5,10.2225814609397,701.478633755812,35.4737640705814,18.4297517180555
0.4,1.53,10.3359142745898,701.467197220083,36.1551346065856,18.4297036239729
0.4,1.56,10.4482371818783,701.456083916498,36.8383622348065,18.4296566061121
0.4,1.59,10.5595883542421,701.44528005439,37.5237630166112,18.4296106093506
0.4,1.62,10.6700060555101,701.43477263023,38.2116415759535,18.4295655805595
0.4,1.65,10.7795285789198,701.424549357598,38.9022910765223,18.4295214686081
0.4,1.68,10.8881941817756,701.414598605775,39.5959932871029,18.4294782243525
0.4,1.71,10.9960410196805,701.40490934576,40.2930187186663,18.4294358006112
0.4,1.74,11.1031070818419,701.395471102655,40.9936268190872,18.4293941521317
0.4,1.77,11.2094301285928,701.386273913545,41.6980662134721,18.4293532355482
0.4,1.8,11.3150476319749,701.377308290108,42.4065749798984,18.4293130093337
0.4,1.83,11.419996719987,701.368565185313,43.1193809519336,18.4292734337474
0.4,1.86,11.5243141249045,701.360035963654,43.8367020406764,18.4292344707781
0.4,1.89,11.6280361359178,701.351712374438,44.5587465702312,18.4291960840861
0.4,1.92,11.7311985562074,701.343586527734,45.2857136215457,18.4291582389433
0.4,1.95,11.8338366644755,701.335650872628,46.0177933804099,18.4291209021721
0.4,1.98,11.9359851808732,701.327898177499,46.7551674861592,18.429084042085
0.4,2.01,12.0376782372032,701.320321512043,47.4980093782621,18.4290476284239
0.4,2.04,12.1389493512333,701.312914230847,48.2464846385129,18.4290116323006
0.4,2.07,12.2398314049234,701.305669958316,49.0007513270115,18.4289760261383
0.4,2.1,12.340356626346,701.298582574797,49.7609603105004,18.4289407836139
0.5,0.6,5.56528216178797,682.767101252404,13.9227728102052,18.8012996633313
0.5,0.63,5.71848476244574,682.729007676708,14.6468069426851,18.8012013665966
0.5,0.66,5.86765653499651,682.693536922916,15.3727289160223,18.8011041040557
0.5,0.69,6.01322456907465,682.660413094961,16.0990130460991,18.80100814173
0.5,0.72,6.15555448739605,682.62939202553,16.8243832619542,18.800913702117
0.5,0.75,6.29495694608651,682.60025852899,17.5477933455314,18.8008209676354
0.5,0.78,6.43169441178291,682.57282346575,18.2684062712669,18.8007300842278
0.5,0.81,6.56598775193579,682.546920836475,18.9855733488939,18.8006411649974
0.5,0.84,6.69802237691997,682.522405031514,19.6988137213108,18.8005542937829
0.5,0.87,6.82795380352051,682.499148300683,20.4077946331597,18.800469528599
0.5,0.9,6.95591259210091,682.477038470418,21.1123127674176,18.8003869048904
0.5,0.93,7.08200866030644,682.455976912021,21.8122768475269,18.8003064385658
0.5,0.96,7.20633500550556,682.435876751042,22.5076916208565,18.8002281287904
0.5,0.99,7.32897088378283,682.416661300535,23.1986432742232,18.8001519605287
0.5,1.02,7.44998450016834,682.398262697449,23.8852862819827,18.8000779068383
0.5,1.05,7.5694352662449,682.380620720513,24.5678316497777,18.8000059309194
0.5,1.08,7.68737567950046,682.363681768432,25.2465364903637,18.7999359879323
0.5,1.11,7.8038528752115,682.347397978551,25.9216948500503,18.7998680265973
0.5,1.14,7.91890989716315,682.331726467819,26.5936296934435,18.7998019905921
0.5,1.17,8.03258672870725,682.316628679757,27.2626859487946,18.7997378197644
0.5,1.2,8.14492112087926,682.302069822991,27.9292245150217,18.799675451177
0.5,1.23,8.25594924974266,682.288018388669,28.5936171332814,18.7996148200019
0.5,1.26,8.36570623091646,682.274445735669,29.2562420299211,18.7995558602802
0.5,1.29,8.47422651541601,682.261325734038,29.917480243027,18.7994985055623
0.5,1.32,8.58154418751421,682.248634458327,30.5777125510397,18.7994426894439
0.5,1.35,8.68769318229856,682.236349923695,31.2373169286047,18.799388346009
0.5,1.38,8.79270743793704,682.22445185862,31.896666461656,18.7993354101942
0.5,1.41,8.896620995344,682.212921508961,32.5561276604464,18.7992838180821
0.5,1.44,8.99946805592307,682.201741468825,33.2160591157028,18.7992335071361
0.5,1.47,9.10128300632598,682.190895534396,33.876810449168,18.7991844163833
0.5,1.5,9.20210041767283,682.180368577398,34.5387215154549,18.7991364865535
0.5,1.53,9.30195502540125,682.170146435373,35.2021218173288,18.7990896601813
0.5,1.56,9.40088169482268,682.160215816356,35.8673301012595,18.7990438816767
0.5,1.59,9.49891537653869,682.15056421588,36.5346541043407,18.7989990973691
0.5,1.62,9.59609105508801,682.141179844547,37.2043904274869,18.7989552555292
0.5,1.65,9.69244369353507,682.132051564678,37.8768245132116,18.7989123063734
0.5,1.68,9.78800817615781,682.123168834725,38.5522307092896,18.7988702020522
0.5,1.71,9.88281925092961,682.114521660388,39.2308724022567,18.7988288966273
0.5,1.74,9.97691147310574,682.106100551467,39.9130022070155,18.7987883460383
0.5,1.77,10.070319150906,682.097896483674,40.5988622008494,18.7987485080619
0.5,1.8,10.1630762940237,682.089900864707,41.2886841919106,18.7987093422652
0.5,1.83,10.2552165654758,682.082105504014,41.9826900137824,18.7986708099543
0.5,1.86,10.3467732371368,682.074502585745,42.6810918390463,18.7986328741195
0.5,1.89,10.4377791491563,682.067084644466,43.3840925059279,18.7985954993787
0.5,1.92,10.5282666733518,682.059844543267,44.0918858530839,18.7985586519186
0.5,1.95,10.6182676805775,682.052775453965,44.8046570584397,18.7985222994358
0.5,1.98,10.7078135120037,682.045870839123,45.5225829787116,18.7984864110777
0.5,2.01,10.7969349541883,682.039124435662,46.2458324868685,18.7984509573834
0.5,2.04,10.8856622177852,682.03253023987,46.974566805313,18.7984159102258
0.5,2.07,10.9740249197056,682.026082493636,47.7089398330134,18.7983812427548
0.5,2.1,11.0620520685302,682.019775671776,48.4490984651931,18.7983469293408
0.6,0.6,5.25658465350802,663.735689405134,13.6291756720845,19.2032421855929
0.6,0.63,5.40244394660645,663.699625095455,14.3379348326584,19.2031459617689
0.6,0.66,5.54451875193824,663.666036063819,15.0485416495377,19.2030507503628
0.6,0.69,5.68321180661677,663.634662560953,15.759502625383,19.2029568117851
0.6,0.72,5.81886805645639,663.605274557107,16.4695686129309,19.2028643638398
0.6,0.75,5.95178067954499,663.577669212263,17.177715471097,19.2027735850972
0.6,0.78,6.08219740573017,663.551668153194,17.8831238399522,19.2026846184204
0.6,0.81,6.21032668595619,663.527114766734,18.5851587231146,19.2025975745257
0.6,0.84,6.33634345794567,663.503871630252,19.2833494177661,19.2025125354818
0.6,0.87,6.46039437982787,663.48181814296,19.9773701991726,19.2024295580783
0.6,0.9,6.5826024826439,663.460848385287,20.6670220507335,19.2023486770104
0.6,0.93,6.70307124135397,663.440869211139,21.3522156329192,19.2022699078497
0.6,0.96,6.82188809244549,663.421798564729,22.0329556044402,19.2021932497771
0.6,0.99,6.9391274415707,663.403564006426,22.709326345302,19.2021186880728
0.6,1.02,7.05485321158332,663.386101428683,23.3814790822402,19.2020461963609
0.6,1.05,7.16912098306403,663.36935394206,24.0496203803974,19.2019757386161
0.6,1.08,7.2819797780116,663.353270911702,24.7140019390003,19.2019072709431
0.6,1.11,7.39347353419131,663.337807125788,25.3749116112865,19.2018407431424
0.6,1.14,7.50364231355133,663.322922079001,26.0326655583156,19.2017761000783
0.6,1.17,7.61252328369119,663.308579355787,26.687601441022,19.2017132828661
0.6,1.2,7.72015150693534,663.294746099865,27.340072553665,19.2016522298947
0.6,1.23,7.82656056732669,663.281392558095,27.9904428035973,19.2015928777025
0.6,1.26,7.93178306192069,663.268491688311,28.6390824461471,19.2015351617208
0.6,1.29,8.03585097917944,663.256018822092,29.2863644886796,19.2014790169007
0.6,1.32,8.13879598405493,663.243951374673,29.9326616840265,19.2014243782375
0.6,1.35,8.24064962650155,663.232268595252,30.5783440400318,19.2013711812049
0.6,1.38,8.3414434876535,663.22095135191,31.2237767786413,19.201319362111
0.6,1.41,8.44120927571429,663.209981946168,31.8693186845471,19.2012688583859
0.6,1.44,8.53997888170569,663.199343952913,32.5153207897152,19.2012196088115
0.6,1.47,8.6377844035814,663.189022082051,33.1621253460918,19.2011715537004
0.6,1.5,8.73465814579859,663.17900205874,33.8100650443174,19.201124635032
0.6,1.53,8.83063260023012,663.169270519562,34.4594624413665,19.2010787965525
0.6,1.56,8.92574041326799,663.159814922312,35.110629564653,19.201033983844
0.6,1.59,9.02001434309026,663.150623467481,35.763867664308,19.2009901443674
0.6,1.62,9.11348721032061,663.141685029755,36.4194670890709,19.2009472274845
0.6,1.65,9.20619184468202,663.132989098099,37.077707264553,19.2009051844611
0.6,1.68,9.298161029719,663.124525723218,37.7388567555732,19.2008639684569
0.6,1.71,9.38942744722216,663.116285471361,38.4031733968565,19.2008235345021
0.6,1.74,9.48002362262064,663.108259383562,39.0709044786532,19.2007838394654
0.6,1.77,9.5699818723046,663.100438939587,39.7422869758291,19.2007448420138
0.6,1.8,9.65933425358785,663.092816025914,40.417547810701,19.2007065025673
0.6,1.83,9.74811251781608,663.085382907214,41.0969041413956,19.2006687832476
0.6,1.86,9.83634806695842,663.078132200844,41.7805636688113,19.2006316478258
0.6,1.89,9.92407191388547,663.071056853966,42.4687249563823,19.2005950616657
0.6,1.92,10.0113146464291,663.064150122927,43.1615777578109,19.200558991667
0.6,1.95,10.0981063952347,663.057405554618,43.8593033487644,19.2005234062077
0.6,1.98,10.1844768053497,663.050816969558,44.5620748592413,19.2004882750856
0.6,2.01,10.2704550114424,663.04437844648,45.2700576039203,19.2004535694613
0.6,2.04,10.3560696165083,663.038084308235,45.9834094083185,19.2004192618009
0.6,2.07,10.4413486738918,663.031929108861,46.7022809290264,19.2003853258202
0.6,2.1,10.5263196724359,663.025907621669,47.4268159666583,19.2003517364304
0.7,0.6,4.93305700147294,645.69487258618,13.4028062656062,19.6161345847098
0.7,0.63,5.06931614319599,645.661076977304,14.0997884898471,19.6160399591513
0.7,0.66,5.20201468620029,645.62960537632,14.7985874149776,19.6159463292173
0.7,0.69,5.33153092961575,645.600213464057,15.4977343588617,19.6158539509923
0.7,0.72,5.45818874638601,645.572684975394,16.1960009314047,19.6157630386616
0.7,0.75,5.58226331231928,645.546829283389,16.8923800117216,19.6156737678284
0.7,0.78,5.70398709096156,645.522478811733,17.5860658588448,19.615586278982
0.7,0.81,5.82355566085911,645.499486470059,18.2764340330802,19.6155006809984
0.7,0.84,5.94113315147561,645.477723224021,18.9630216592459,19.615417054582
0.7,0.87,6.05685717054417,645.457075858497,19.6455084319111,19.6153354555776
0.7,0.9,6.17084317933545,645.437444958423,20.3236986488264,19.6152559181034
0.7,0.93,6.28318831741835,645.418743110899,20.9975044626875,19.6151784574707
0.7,0.96,6.39397470473745,645.400893320125,21.6669304626899,19.6151030728733
0.7,0.99,6.50327226284917,645.383827620047,22.3320596347023,19.6150297498345
0.7,1.02,6.61114110338967,645.367485866557,22.9930407005397,19.6149584624157
0.7,1.05,6.71763353324691,645.351814690188,23.6500768007983,19.6148891751889
0.7,1.08,6.82279572441959,645.33676659064,24.3034154600367,19.6148218449871
0.7,1.11,6.92666909343413,645.322299155629,24.9533397558827,19.6147564224437
0.7,1.14,7.02929143126833,645.308374388009,25.6001606031916,19.6146928533382
0.7,1.17,7.13069782050774,645.294958126788,26.244210059207,19.614631079763
0.7,1.2,7.2309213722508,645.282019549246,26.8858355544824,19.61457104113
0.7,1.23,7.32999381126439,645.269530742949,27.5253949560663,19.6145126750312
0.7,1.26,7.42794593417126,645.257466337863,28.163252373257,19.6144559179696
0.7,1.29,7.52480796207098,645.245803190069,28.7997746214229,19.6144007059764
0.7,1.32,7.62060980596903,645.234520109725,29.4353282653991,19.6143469751263
0.7,1.35,7.71538126070588,645.223597626963,30.070277170427,19.6142946619644
0.7,1.38,7.80915214072142,645.213017790251,30.7049804951691,19.6142437038562
0.7,1.41,7.9019523689325,645.202763992556,31.3397910678067,19.6141940392711
0.7,1.44,7.99381202821714,645.19282082131,31.9750540924399,19.6141456080074
0.7,1.47,8.08476138345707,645.183173928733,32.6111061388774,19.6140983513688
0.7,1.5,8.17483088076578,645.173809919592,33.2482743743475,19.6140522122983
0.7,1.53,8.26405112939477,645.164716253874,33.8868760006614,19.6140071354764
