w_mm,freq_ghz,r_ohm,l_nH,g_uS,c_pF
0.4,0.6,5.89461,737.615,13.2601,17.4802
0.4,0.63,6.0581781156303,737.574432800783,13.9440417122591,17.4801088020076
0.4,0.66,6.21742045554909,737.536655281196,14.6305874190761,17.4800184124272
0.4,0.69,6.37279754446006,737.501376677246,15.3182576914248,17.4799290841085
0.4,0.72,6.52470534698243,737.468338879539,16.0058013562452,17.4798410308886
0.4,0.75,6.67348161008925,737.437313814408,16.6921789177167,17.479754430426
0.4,0.78,6.8194126685253,737.408100554003,17.3765448960995,17.4796694272193
0.4,0.81,6.96274018128107,737.380522401808,18.0582297328294,17.4795861356992
0.4,0.84,7.10366748961306,737.354424098973,18.7367217819049,17.4795046433071
0.4,0.87,7.24236543294221,737.329669230638,19.4116497896496,17.4794250134891
0.4,0.9,7.37897755245814,737.306137868914,20.0827661604996,17.4793472885562
0.4,0.93,7.51362467047027,737.283724462755,20.749931216775,17.4792714923749
0.4,0.96,7.64640886829474,737.26233596904,21.4130985855142,17.4791976328639
0.4,0.99,7.77741690483098,737.241890210263,22.0723017846118,17.4791257042879
0.4,1.02,7.9067231274327,737.222314439742,22.7276420324564,17.4790556893398
0.4,1.05,8.03439192987821,737.20354409352,23.3792772684692,17.4789875610185
0.4,1.08,8.16047981162836,737.185521708172,24.0274123447917,17.4789212843042
0.4,1.11,8.28503708972526,737.168195984699,24.6722903302485,17.4788568176454
0.4,1.14,8.40810931066627,737.151520980164,25.3141848551443,17.4787941142669
0.4,1.17,8.52973840504892,737.135455410503,25.9533934180949,17.4787331233139
0.4,1.2,8.64996362313371,737.11996204968,26.590231572783,17.4786737908456
0.4,1.23,8.76882228496185,737.105007212124,27.2250279122783,17.4786160606922
0.4,1.26,8.8863503744343,737.090560306978,27.8581197705418,17.4785598751899
0.4,1.29,9.00258300287813,737.076593454158,28.4898495642933,17.4785051758059
0.4,1.32,9.11755476412457,737.063081153575,29.1205617030054,17.4784519036666
0.4,1.35,9.2313,737.05,29.7506,17.4784
0.4,1.38,9.34385299237108,737.037328437122,30.3803055231366,17.4783494065033
0.4,1.41,9.45524809546452,737.025046545235,31.0100148291613,17.4783000656442
0.4,1.44,9.56551982007086,737.013135857752,31.6400585312606,17.4782519209064
0.4,1.47,9.6747028794099,737.00157920247,32.2707601546166,17.4782049169845
0.4,1.5,9.78283220485457,736.990360564033,32.9024352397075,17.4781589999376
0.4,1.53,9.88994293834888,736.979464964596,33.5353906577002,17.4781141173064
0.4,1.56,9.99607040719085,736.968878360101,34.1699241065078,17.4780702181991
0.4,1.59,10.1012500858563,736.958587549953,34.8063237599348,17.4780272533517
0.4,1.62,10.2055175486925,736.948580098184,35.4448680458092,17.4779851751654
0.4,1.65,10.3089084165956,736.938844264525,36.0858255321217,17.4779439377266
0.4,1.68,10.4114583001769,736.929368943947,36.7294549029727,17.4779034968105
0.4,1.71,10.5132027414179,736.920143613527,37.3760050085999,17.477863809873
0.4,1.74,10.6141771553854,736.911158285606,38.0257149759386,17.4778248360318
0.4,1.77,10.7144167732219,736.902403466367,38.6788143680872,17.4777865360385
0.4,1.8,10.8139565873344,736.893870119095,39.3355233827347,17.4777488722455
0.4,1.83,10.9128312994592,736.885549631491,39.9960530810742,17.4777118085666
0.4,1.86,11.0110752720813,736.87743378647,40.66060564001,17.4776753104334
0.4,1.89,11.1087224835258,736.869514736011,41.3293746215761,17.4776393447502
0.4,1.92,11.2058064869069,736.861784977631,42.0025452544496,17.4776038798449
0.4,1.95,11.3023603730151,736.85423733315,42.6802947232717,17.4775688854204
0.4,1.98,11.3984167371413,736.846864929461,43.3627924622079,17.4775343325037
0.4,2.01,11.4940076497716,736.83966118104,44.0502004497963,17.4775001933961
