w_mm,freq_ghz,r_ohm,l_uH,g_uS,c_pF
0.2,0.6,22.9796597067731,1.04712582865098,14.7035988628925,13.4630263274575
0.2,0.63,23.5124980040517,1.04697580564944,15.4682874022901,13.4629225168952
0.2,0.66,24.0321645724643,1.04683728162648,16.2349720086352,13.462819798383
0.2,0.69,24.540115559664,1.0467087628503,17.0020413669024,13.4627184528672
0.2,0.72,25.037493077098,1.04658900027258,17.7681477719738,13.4626187153298
0.2,0.75,25.5251919424589,1.04647694629375,18.5321862613864,13.4625207784271
0.2,0.78,26.003913911164,1.04637171916866,19.2932727972457,13.4624247962938
0.2,0.81,26.4742114112409,1.04627257380921,20.0507222401336,13.462330888384
0.2,0.84,26.9365225812608,1.04617887788049,20.8040266978139,13.4622391432456
0.2,0.87,27.3911991645776,1.04609009224548,21.5528346877094,13.4621496221544
0.2,0.9,27.8385285728591,1.04600575496647,22.2969314271423,13.4620623625502
0.2,0.93,28.2787512143384,1.04592546820823,23.0362204599626,13.4619773812409
0.2,0.96,28.7120739929416,1.0458488875061,23.7707067418709,13.4618946773512
0.2,0.99,29.138680723599,1.04577571296054,24.5004812380265,13.4618142350087
0.2,1.02,29.558740074275,1.04570568200194,25.2257070334971,13.4617360257658
0.2,1.05,29.972411533327,1.04563856343583,25.9466069175854,13.4616600107639
0.2,1.08,30.3798498083481,1.04557415253342,26.6634523748971,13.4615861426537
0.2,1.11,30.7812079865541,1.04551226697658,27.3765538971343,13.4615143672841
0.2,1.14,31.1766397242726,1.04545274350176,28.0862525181323,13.4614446251781
0.2,1.17,31.5663006818386,1.04539543511687,28.7929124689724,13.4613768528135
0.2,1.2,31.9503493782252,1.04534020878807,29.496914848697,13.4613109837269
0.2,1.23,32.3289476053947,1.04528694351276,30.1986522080614,13.4612469494575
0.2,1.26,32.702260514296,1.0452355287102,30.898523947932,13.4611846803499
0.2,1.29,33.0704564615456,1.04518586287394,31.5969324396262,13.4611241062303
0.2,1.32,33.4337066871826,1.04513785244017,32.2942797810932,13.4610651569722
0.2,1.35,33.7921848787449,1.04509141083448,32.9909651099116,13.461007762965
0.2,1.38,34.1460666646319,1.04504645766627,33.6873824012844,13.4609518554978
0.2,1.41,34.4955290698074,1.04500291804559,34.3839186863134,13.4608973670702
0.2,1.44,34.8407499589082,1.04496072200144,35.0809526326504,13.4608442316397
0.2,1.47,35.181907485434,1.04491980398468,35.7788534360605,13.4607923848149
0.2,1.5,35.5191795605911,1.04488010244121,36.4779799774004,13.4607417640026
0.2,1.53,35.8527433513313,1.04484155944398,37.1786802050071,13.4606923085155
0.2,1.56,36.1827748139461,1.04480412037415,37.881290707476,13.4606439596468
0.2,1.59,36.5094482671106,1.04476773364342,38.5861364463042,13.4605966607165
0.2,1.62,36.8329360063598,1.04473235045115,39.293530621904,13.4605503570949
0.2,1.65,37.1534079605379,1.04469792457056,40.0037746500687,13.4605049962068
0.2,1.68,37.4710313896756,1.04466441215983,40.7171582291489,13.4604605275199
0.2,1.71,37.7859706229687,1.04463177159403,41.4339594809874,13.4604169025198
0.2,1.74,38.0983868349709,1.04459996331502,42.1544451511148,13.4603740746754
0.2,1.77,38.4084378577471,1.04456894969664,42.8788708558486,13.460331999396
0.2,1.8,38.7162780265031,1.04453869492291,43.607481365804,13.4602906339813
0.2,1.83,39.0220580560871,1.04450916487773,44.3405109169472,13.4602499375677
0.2,1.86,39.3259249457291,1.0444803270442,45.0781835417228,13.4602098710703
