freq,s11,s12,s21,s22
1.9155,0.215130436827768 + 0.778681869887878i,-0.387085428931072 + 0.442955127139194i,-0.387085428931072 + 0.442955127139195i,0.801069412350688 + 0.108662482345994i
1.922,0.230674600681163 + 0.776169244819586i,-0.380555010264707 + 0.445211414770554i,-0.380555010264707 + 0.445211414770554i,0.80318420472582 + 0.106889590437711i
1.9285,0.246006179328808 + 0.773365486564212i,-0.374092317022425 + 0.447370888060201i,-0.374092317022425 + 0.447370888060202i,0.805258192204782 + 0.10507390040391i
1.935,0.26112300159892 + 0.770280695998916i,-0.367697800070724 + 0.449437746878695i,-0.367697800070724 + 0.449437746878696i,0.8072910772545 + 0.10321688127618i
1.9415,0.276023253028718 + 0.766924724708426i,-0.361371766559042 + 0.45141609276271i,-0.361371766559042 + 0.45141609276271i,0.809282611712042 + 0.101319962132256i
1.948,0.290705453375046 + 0.763307170502385i,-0.355114388449405 + 0.453309927404518i,-0.355114388449405 + 0.453309927404519i,0.811232593381368 + 0.0993845315990652i
1.9545,0.305168434889426 + 0.759437374093945i,-0.348925710734107 + 0.455123151578662i,-0.348925710734107 + 0.455123151578662i,0.813140862751467 + 0.0974119375215192i
1.961,0.319411321376011 + 0.755324416842964i,-0.342805659335207 + 0.456859564468294i,-0.342805659335207 + 0.456859564468294i,0.81500729983775 + 0.0954034867825773i
1.9675,0.3334335080444 + 0.750977119471728i,-0.336754048682103 + 0.458522863355498i,-0.336754048682103 + 0.458522863355498i,0.816831821147632 + 0.0933604452608116i
1.974,0.347234642163523 + 0.746404041665792i,-0.33077058896558 + 0.460116643641746i,-0.33077058896558 + 0.460116643641746i,0.818614376770404 + 0.0912840379124757i
1.9805,0.360814604517652 + 0.741613482477258i,-0.324854893068689 + 0.461644399166543i,-0.324854893068689 + 0.461644399166543i,0.820354947590782 + 0.0891754489658082i
1.987,0.374173491661133 + 0.736613481452494i,-0.319006483176431 + 0.463109522794142i,-0.319006483176432 + 0.463109522794143i,0.822053542624905 + 0.0870358222160525i
1.9935,0.387311598964472 + 0.731411820411024i,-0.313224797067739 + 0.464515307240099i,-0.313224797067739 + 0.464515307240099i,0.823710196476961 + 0.0848662614103985i
2,0.400229404441015 + 0.726016025806888i,-0.307509194094453 + 0.465864946111192i,-0.307509194094453 + 0.465864946111192i,0.825324966914199 + 0.0826678307127799i
