freq,s11,s12,s21,s22
1.142,0.172289432248281 - 0.739162308259317i,-0.390017535881484 - 0.519959118966878i,-0.390017535881484 - 0.519959118966879i,0.758537492548278 + 0.0421356044394621i
1.1485,0.155299230300978 - 0.740883625432254i,-0.397751520043499 - 0.516981256284319i,-0.3977515200435 - 0.51698125628432i,0.756642307010637 + 0.0404601410204841i
1.155,0.138088244819673 - 0.742223408748366i,-0.405543742159003 - 0.513866667587763i,-0.405543742159003 - 0.513866667587764i,0.754706068749179 + 0.038850440179418i
1.1615,0.120662779530965 - 0.743168604680647i,-0.413391998475986 - 0.510610168208901i,-0.413391998475986 - 0.510610168208902i,0.752730016639583 + 0.0373082868800246i
1.168,0.103029790633297 - 0.743706014930372i,-0.421293822685583 - 0.50720652552323i,-0.421293822685582 - 0.50720652552323i,0.750715482733975 + 0.0358354825010115i
1.1745,0.0851969165208587 - 0.743822322575554i,-0.429246474986557 - 0.503650469373676i,-0.429246474986557 - 0.503650469373676i,0.748663896576672 + 0.0344338407281735i
1.181,0.0671725072145576 - 0.743504120991141i,-0.437246931285004 - 0.499936703555949i,-0.437246931285005 - 0.49993670355595i,0.746576789449776 + 0.033105183035579i
1.1875,0.0489656532987621 - 0.742737945653195i,-0.445291872608288 - 0.49605991840693i,-0.445291872608288 - 0.496059918406931i,0.744455798517906 + 0.0318513337409025i
1.194,0.030586214142773 - 0.741510308929596i,-0.453377674819743 - 0.492014804533437i,-0.453377674819743 - 0.492014804533437i,0.742302670838467 + 0.0306741146216078i
1.2005,0.012044845165964 - 0.739807737947699i,-0.461500398728245 - 0.487796067713801i,-0.461500398728245 - 0.487796067713802i,0.74011926720104 + 0.0295753390806471i
1.207,-0.00664697611464627 - 0.737616815614696i,-0.469655780694366 - 0.483398444998834i,-0.469655780694366 - 0.483398444998835i,0.737907565756521 + 0.0285568058526824i
1.2135,-0.0254769255355977 - 0.734924224849111i,-0.477839223842341 - 0.478816722031818i,-0.477839223842341 - 0.478816722031818i,0.735669665393903 + 0.0276202922445697i
1.22,-0.0444318095377197 - 0.731716796061587i,-0.486045789994391 - 0.474045751599149i,-0.486045789994391 - 0.47404575159915i,0.733407788819758 + 0.0267675469070185i
1.2265,-0.0634975445359227 - 0.727981557899816i,-0.494270192450907 - 0.469080473414076i,-0.494270192450907 - 0.469080473414077i,0.731124285292978 + 0.0260002821379478i
1.233,-0.0826591387451833 - 0.723705791246102i,-0.502506789746529 - 0.463915935125573i,-0.502506789746529 - 0.463915935125574i,0.728821632964851 + 0.0253201657221186i
1.2395,-0.101900676815932 - 0.718877086426393i,-0.510749580517996 - 0.458547314532825i,-0.510749580517996 - 0.458547314532825i,0.726502440772457 + 0.0247288123161612i
1.246,-0.121205307646089 - 0.713483403556771i,-0.518992199624716 - 0.452969942972932i,-0.518992199624716 - 0.452969942972933i,0.724169449831542 + 0.0242277743931026i
1.2525,-0.140555235748585 - 0.707513135917308i,-0.527227915667069 - 0.447179329835458i,-0.52722791566707 - 0.447179329835459i,0.721825534273589 + 0.0238185327659504i
1.259,-0.159931716561745 - 0.700955176203997i,-0.53544963005033 - 0.441171188142159i,-0.53544963005033 - 0.44117118814216i,0.719473701470878 + 0.0235024867157845i
1.2655,-0.179315056094975 - 0.693798985467264i,-0.543649877743575 - 0.434941461113979i,-0.543649877743575 - 0.43494146111398i,0.717117091592916 + 0.0232809437561115i
1.272,-0.198684615303155 - 0.686034664500622i,-0.551820829882837 - 0.428486349629994i,-0.551820829882837 - 0.428486349629995i,0.714758976437852 + 0.0231551090719145i
1.2785,-0.218018819579439 - 0.677653027395658i,-0.559954298365822 - 0.42180234046479i,-0.559954298365822 - 0.421802340464791i,0.712402757483414 + 0.0231260746788401i
1.285,-0.237295173747338 - 0.668645676930086i,-0.568041742581555 - 0.414886235171777i,-0.568041742581555 - 0.414886235171777i,0.710051963103653 + 0.0231948083552259i
1.2915,-0.256490282918376 - 0.659005081404681i,-0.57607427841216 - 0.407735179460449i,-0.57607427841216 - 0.40773517946045i,0.707710244900353 + 0.0233621424071192i
1.298,-0.275579879560829 - 0.648724652492969i,-0.584042689635384 - 0.400346692895824i,-0.584042689635383 - 0.400346692895825i,0.705381373101465 + 0.0236287623339672i
1.3045,-0.294538857097605 - 0.637798823615456i,-0.591937441845353 - 0.392718698728471i,-0.591937441845353 - 0.392718698728472i,0.703069230983469 + 0.0239951954701739i
1.311,-0.31334131031688 - 0.626223128298585i,-0.599748698995181 - 0.384849553644039i,-0.599748698995181 - 0.38484955364404i,0.700777808280069 + 0.0244617996850888i
1.3175,-0.331960582837293 - 0.613994277928526i,-0.607466342648408 - 0.376738077202318i,-0.607466342648408 - 0.376738077202319i,0.698511193546288 + 0.0250287522310811i
1.324,-0.350369321820209 - 0.601110238262273i,-0.615079994006704 - 0.368383580718041i,-0.615079994006704 - 0.368383580718042i,0.696273565454714 + 0.0256960388360205i
1.3305,-0.36853954006471 - 0.587570304014367i,-0.622579038758912 - 0.359785895319211i,-0.622579038758912 - 0.359785895319212i,0.694069183009473 + 0.0264634431425632i
1.337,-0.386442685556663 - 0.573375170798102i,-0.629952654771232 - 0.350945398904225i,-0.629952654771232 - 0.350945398904226i,0.691902374673388 + 0.0273305366019705i
1.3435,-0.404049718471673 - 0.558527003666424i,-0.637189842610445 - 0.341863041706855i,-0.637189842610445 - 0.341863041706856i,0.68977752641467 + 0.0282966689345872i
1.35,-0.421331195553465 - 0.543029501471052i,-0.644279458861582 - 0.332540370168691i,-0.644279458861582 - 0.332540370168691i,0.687699068691337 + 0.0293609592724201i
1.3565,-0.43825736170475 - 0.526887956239902i,-0.651210252168685 - 0.322979548812479i,-0.651210252168685 - 0.322979548812479i,0.685671462404268 + 0.0305222881012866i
1.363,-0.454798248537932 - 0.510109306763792i,-0.657970901892607 - 0.3131833798072i,-0.657970901892607 - 0.313183379807201i,0.68369918386318 + 0.0317792901206173i
1.3695,-0.470923779538915 - 0.49270218558468i,-0.664550059243554 - 0.303155319917274i,-0.664550059243554 - 0.303155319917274i,0.681786708823795 + 0.0331303481380171i
1.376,-0.486603881400243 - 0.474676958590393i,-0.670936390708772 - 0.292899494534184i,-0.670936390708772 - 0.292899494534184i,0.679938495668739 + 0.0345735881129988i
1.3825,-0.501808600981022 - 0.456045756445679i,-0.677118623557981 - 0.28242070849951i,-0.677118623557981 - 0.282420708499511i,0.678158967819229 + 0.0361068754597811i
1.389,-0.516508227252403 - 0.436822497127193i,-0.683085593171518 - 0.271724453443935i,-0.683085593171518 - 0.271724453443936i,0.676452495478881 + 0.037727812712622i
1.3955,-0.530673417490377 - 0.417022898880997i,-0.688826291899284 - 0.260816911387529i,-0.688826291899285 - 0.26081691138753i,0.674823376825011 + 0.039433738648763i
1.402,-0.544275326884264 - 0.396664482985681i,-0.69432991912329 - 0.249704954372469i,-0.694329919123291 - 0.24970495437247i,0.6732758187761 + 0.0412217289537196i
1.4085,-0.557285740641502 - 0.375766565781978i,-0.69958593216359 - 0.23839613993029i,-0.69958593216359 - 0.238396139930291i,0.671813917476494 + 0.0430885985013564i
1.415,-0.569677207589169 - 0.354350239520471i,-0.704584097637459 - 0.226898702221603i,-0.704584097637459 - 0.226898702221604i,0.670441638650561 + 0.0450309053070511i
1.4215,-0.58142317420207 - 0.332438341681955i,-0.709314542855554 - 0.215221538726667i,-0.709314542855555 - 0.215221538726668i,0.669162797988159 + 0.0470449561963716i
1.428,-0.592498117928216 - 0.310055412538969i,-0.713767806817285 - 0.203374192409776i,-0.713767806817285 - 0.203374192409777i,0.667981041731072 + 0.0491268142142712i
1.4345,-0.60287767863686 - 0.287227640850846i,-0.717934890351325 - 0.191366829328646i,-0.717934890351325 - 0.191366829328647i,0.666899827635844 + 0.0512723077810364i
1.441,-0.612538786983595 - 0.263982797716374i,-0.721807304936835 - 0.179210211711119i,-0.721807304936835 - 0.17921021171112i,0.665922406491875 + 0.0534770415814019i
1.4475,-0.621459788472785 - 0.24035015874595i,-0.725377119736909 - 0.166915666574771i,-0.725377119736909 - 0.166915666574772i,0.665051804374623 + 0.0557364091526556i
1.454,-0.629620562000946 - 0.216360414856709i,-0.728637006378621 - 0.154495050019563i,-0.728637006378622 - 0.154495050019564i,0.664290805812097 + 0.0580456071165643i
1.4605,-0.637002631686243 - 0.192045572136947i,-0.731580281023856 - 0.141960707378517i,-0.731580281023856 - 0.141960707378517i,0.663641938038396 + 0.0603996509789032i
1.467,-0.643589270829695 - 0.167438841367718i,-0.73420094329223 - 0.129325429465528i,-0.734200943292229 - 0.129325429465529i,0.663107456500909 + 0.062793392399689i
1.4735,-0.649365596912609 - 0.142574517927029i,-0.73649371162163 - 0.116602405211834i,-0.736493711621629 - 0.116602405211835i,0.662689331777876 + 0.065221537817279i
1.48,-0.654318656612154 - 0.117487852932791i,-0.738454054683103 - 0.103805171032214i,-0.738454054683103 - 0.103805171032215i,0.662389238050419 + 0.0676786682907145i
1.4865,-0.658437499911588 - 0.0922149166020765i,-0.740078218504628 - 0.0909475573077714i,-0.740078218504628 - 0.0909475573077721i,0.66220854325812 + 0.0701592604074556i
1.493,-0.661713242492411 - 0.0667924549135686i,-0.741363249002183 - 0.0780436324131277i,-0.741363249002183 - 0.0780436324131285i,0.662148301049838 + 0.0726577080883261i
1.4995,-0.664139115720815 - 0.0412577407551735i,-0.74230700966578 - 0.0651076447511548i,-0.74230700966578 - 0.0651076447511554i,0.662209244622084 + 0.075168345108407i
1.506,-0.665710503678178 - 0.0156484208174389i,-0.742908194201913 - 0.0521539632872145i,-0.742908194201913 - 0.0521539632872153i,0.66239178251625 + 0.0776854681420749i
1.5125,-0.66642496683255 + 0.00999764044597104i,-0.743166333991318 - 0.0391970170966703i,-0.743166333991318 - 0.0391970170966712i,0.662695996423568 + 0.0802033601326016i
1.519,-0.666282252102541 + 0.0356425184283592i,-0.7430818002809 - 0.0262512344536224i,-0.743081800280899 - 0.0262512344536231i,0.663121641023438 + 0.0827163137819033i
1.5255,-0.665284289223787 + 0.0612483861673996i,-0.742655801090122 - 0.0133309819951382i,-0.742655801090121 - 0.0133309819951388i,0.663668145856987 + 0.0852186549542542i
1.532,-0.663435173488303 + 0.0867776709466016i,-0.741890372873905 - 0.000450504493547974i,-0.741890372873904 - 0.000450504493548628i,0.664334619213934 + 0.0877047657890995i
1.5385,-0.660741135085546 + 0.112193208338189i,-0.740788367044946 + 0.0123761342402933i,-0.740788367044946 + 0.0123761342402927i,0.665119853987474 + 0.090169107322489i
1.545,-0.657210495427964 + 0.1374583923657i,-0.739353431517309 + 0.0251351088173224i,-0.739353431517309 + 0.0251351088173217i,0.666022335429371 + 0.0926062414240063i
1.5515,-0.65285361099031 + 0.162537320524685i,-0.737589987488933 + 0.0378128876134407i,-0.737589987488934 + 0.0378128876134399i,0.667040250716166 + 0.0950108518662136i
1.558,-0.647682805328517 + 0.187394932477915i,-0.735503201732549 + 0.0503962855463819i,-0.735503201732549 + 0.0503962855463813i,0.668171500217808 + 0.0973777643563517i
1.5645,-0.641712290068083 + 0.21199714133556i,-0.733098954711276 + 0.0628725138747151i,-0.733098954711276 + 0.0628725138747145i,0.669413710342346 + 0.0997019653750384i
1.571,-0.6349580757617 + 0.236310956538893i,-0.730383804876405 + 0.0752292266502668i,-0.730383804876404 + 0.0752292266502662i,0.670764247814885 + 0.101978619683669i
1.5775,-0.62743787360961 + 0.260304597485757i,-0.72736494953965 + 0.0874545635024197i,-0.72736494953965 + 0.0874545635024193i,0.672220235236144 + 0.104203086380785i
1.584,-0.619170989112734 + 0.283947597164893i,-0.72405018274036 + 0.0995371884832271i,-0.72405018274036 + 0.0995371884832266i,0.673778567755567 + 0.106370933407444i
1.5905,-0.610178208787112 + 0.307210895201441i,-0.720447850549186 + 0.111466324755065i,-0.720447850549187 + 0.111466324755065i,0.675435930686458 + 0.108477950422195i
1.597,-0.600481681108295 + 0.330066919855037i,-0.716566804263746 + 0.123231784956591i,-0.716566804263746 + 0.12323178495659i,0.677188817885745 + 0.110520159987259i
1.6035,-0.59010479287606 + 0.352489658652012i,-0.712416351958619 + 0.134823997137028i,-0.712416351958619 + 0.134823997137028i,0.679033550718948 + 0.112493827028498i
1.61,-0.579072042193669 + 0.374454717471979i,-0.708006208852054 + 0.146234026202344i,-0.708006208852054 + 0.146234026202343i,0.680966297431503 + 0.114395466552399i
1.6165,-0.567408909242589 + 0.395939368043947i,-0.703346446945146 + 0.157453590868722i,-0.703346446945147 + 0.157453590868722i,0.682983092750678 + 0.116221849623215i
1.623,-0.555141726004387 + 0.41692258393603i,-0.698447444376603 + 0.168475076168142i,-0.698447444376603 + 0.168475076168141i,0.685079857547733 + 0.117970007622328i
1.6295,-0.542297546037678 + 0.43738506524379i,-0.693319834918019 + 0.179291541597028i,-0.693319834918019 + 0.179291541597028i,0.687252418397495 + 0.119637234829464i
1.636,-0.528904015361305 + 0.457309252293747i,-0.687974458011518 + 0.189896725041312i,-0.687974458011518 + 0.189896725041312i,0.689496526881859 + 0.121221089381518i
1.6425,-0.514989245427012 + 0.476679328779133i,-0.682422309724333 + 0.200285042649284i,-0.682422309724333 + 0.200285042649284i,0.691807878494639 + 0.122719392679105i
1.649,-0.500581689087765 + 0.495481214833815i,-0.676674494964234 + 0.21045158485702i,-0.676674494964235 + 0.21045158485702i,0.694182131017422 + 0.124130227323468i
1.6555,-0.485710020383444 + 0.513702550626448i,-0.670742181266316 + 0.220392108799642i,-0.670742181266316 + 0.220392108799641i,0.696614922249179 + 0.125451933677058i
1.662,-0.470403018875786 + 0.531332671120336i,-0.664636554426354 + 0.230103027365104i,-0.664636554426354 + 0.230103027365104i,0.699101886986343 + 0.126683105149693i
1.6685,-0.454689459171228 + 0.548362572694796i,-0.658368776219442 + 0.239581395165656i,-0.658368776219442 + 0.239581395165655i,0.701638673164252 + 0.127822582318952i
1.675,-0.438598006175345 + 0.56478487236141i,-0.651949944405612 + 0.248824891715518i,-0.651949944405612 + 0.248824891715518i,0.704220957085316 + 0.128869445998232i
1.6815,-0.422157116527681 + 0.58059376033378i,-0.645391055187258 + 0.257831802112105i,-0.645391055187257 + 0.257831802112105i,0.706844457673559 + 0.129823009368869i
1.688,-0.405394946572358 + 0.595784946722884i,-0.638702968247076 + 0.266600995522232i,-0.638702968247076 + 0.266600995522232i,0.709504949709151 + 0.130682809293928i
